StateFP,Year,monetary_drought,rate_drought,monetary_flood,rate_flood,monetary_smoke,rate_smoke,State,ObjectId
1,2007,3679.023505,82.87585967,44.04946839,0.992284381,2000.594017,46.47793743,Alabama,1
1,2008,4632.465429,103.3502861,50.88207736,1.135178952,1779.693926,41.40434519,Alabama,2
1,2009,874.4979045,19.34712285,152.7988008,3.380473705,458.3246033,14.58656565,Alabama,3
1,2010,942.6325774,20.72399151,169.9328508,3.736012356,936.1920951,23.36159669,Alabama,4
1,2011,1918.401703,41.9653257,106.8953334,2.338351491,2638.108315,55.41272317,Alabama,5
1,2012,2546.745186,55.39977127,84.30714124,1.833947254,2592.141567,56.54482129,Alabama,6
1,2013,1660.618102,35.93771442,109.0916464,2.360870587,2006.437442,45.06957715,Alabama,7
1,2014,613.276602,13.2114919,106.0437416,2.284443967,1433.121098,33.75198989,Alabama,8
1,2015,551.4889712,11.82865344,59.39241634,1.273882791,705.4467116,18.15396686,Alabama,9
1,2016,778.040873,16.61196673,103.3715417,2.20708792,934.5270417,22.54385861,Alabama,10
1,2017,1859.522919,39.53055413,98.15395645,2.086599874,1034.705143,26.29357093,Alabama,11
1,2018,1991.743643,42.13482994,97.00624807,2.052142493,1955.930604,43.40831459,Alabama,12
1,2019,425.6829605,8.956261721,89.29663059,1.878778501,2283.671424,49.75390863,Alabama,13
1,2020,1106.539482,23.14805016,165.6851226,3.466019595,2611.573433,59.37644082,Alabama,14
4,2008,953.0853096,15.97436094,456.8617927,7.657315777,73.50628002,3.518392458,Arizona,15
4,2009,1446.128104,23.99815785,195.8575434,3.25021015,76.54887985,3.740938474,Arizona,16
4,2010,237.4303635,3.903745671,166.4261338,2.736319357,107.6982335,5.400499331,Arizona,17
4,2011,1142.066474,18.6449434,171.3599319,2.79755715,270.9113941,14.80152979,Arizona,18
4,2012,1643.474466,26.57629646,328.8988489,5.31855742,1002.752663,27.39981444,Arizona,19
4,2013,1217.401951,19.51611809,564.8041163,9.054350391,1202.751167,30.02746214,Arizona,20
4,2014,490.6325071,7.775684234,550.5343042,8.725025039,661.0272151,17.61345446,Arizona,21
4,2015,1804.554261,28.27155616,512.1204345,8.023278619,110.5123535,8.342798481,Arizona,22
4,2016,1296.879413,20.0557041,400.0583032,6.18673631,206.6157731,13.6258121,Arizona,23
4,2017,515.3438028,7.878821199,703.0557184,10.74865026,929.9796101,25.81771368,Arizona,24
4,2018,1654.828068,24.97151564,915.4517259,13.81425511,1397.250993,30.78809826,Arizona,25
4,2019,882.5373082,13.12743603,1165.882784,17.34210161,854.3880869,20.62931532,Arizona,26
4,2020,1543.012364,22.60046173,642.8962254,9.416484196,2126.655951,36.27600234,Arizona,27
4,2007,1531.21666,26.13311244,380.480567,6.493621509,38.10185059,2.452212925,Arizona,28
5,2008,979.4035482,35.86473252,212.3786644,7.777084334,1118.487575,42.4722938,Arkansas,29
5,2009,684.3137455,24.86604412,194.1699477,7.055591851,917.0745189,33.57193655,Arkansas,30
5,2010,488.9298393,17.61638324,226.7259484,8.169047737,1154.145379,42.011324,Arkansas,31
5,2011,1172.516535,41.9984555,304.8751514,10.92034534,1385.239036,50.03612012,Arkansas,32
5,2012,1919.223815,68.51249902,189.225755,6.754985664,1755.902102,62.42345626,Arkansas,33
5,2013,1785.516691,63.61603603,74.25769254,2.645721582,1979.774455,69.99804218,Arkansas,34
5,2014,504.9623478,17.95201151,80.2304888,2.852289214,1548.981517,54.94223014,Arkansas,35
5,2015,263.6481767,9.343931726,154.6848836,5.482173288,1275.287054,43.50810683,Arkansas,36
5,2016,342.9832387,12.1139022,246.2019946,8.695663654,1379.464947,47.63187363,Arkansas,37
5,2017,546.0842488,19.22233025,96.64647454,3.401985052,1238.666641,42.8157121,Arkansas,38
5,2018,168.2504248,5.909610575,132.6946173,4.66075206,1381.85644,49.41293533,Arkansas,39
5,2019,475.21063,16.65193787,263.9484485,9.24906323,1418.299824,50.76322677,Arkansas,40
5,2007,1405.441412,51.93379363,45.43068707,1.678752246,1265.808682,47.24604191,Arkansas,41
5,2020,132.9175808,4.641575656,267.2098027,9.331154747,1801.788233,63.94014313,Arkansas,42
6,2007,1518.759102,4.410151935,708.9830792,2.05873538,10752.70119,37.72884957,California,43
6,2008,12759.85445,36.69353645,1358.305651,3.906082008,16667.84346,47.97900708,California,44
6,2009,16276.92632,46.35561944,655.2557861,1.866125536,13513.30068,44.36031284,California,45
6,2010,5849.544323,16.49765965,1253.320269,3.534779819,8152.604108,25.33013544,California,46
6,2011,602.0882822,1.683253981,1463.208905,4.090682855,1095.170541,11.02365045,California,47
6,2012,1875.757347,5.199825056,1083.670206,3.004064199,1607.720011,18.0767859,California,48
6,2013,11940.97314,32.82427883,1248.454612,3.431849468,6603.712672,33.04453219,California,49
6,2014,18518.62513,50.45151171,1312.100789,3.57464271,8301.366435,38.91691268,California,50
27,2014,1534.800484,29.51597203,182.3106855,3.506043392,3043.12317,55.43206511,Minnesota,51
27,2015,607.5853566,11.60733419,125.7509962,2.402351902,3362.66953,58.98264411,Minnesota,52
27,2016,313.0608014,5.930702149,39.17406613,0.74212331,3039.686393,54.86500218,Minnesota,53
27,2017,0.220702701,0.004144548,54.67232622,1.026684554,2402.408821,46.5285976,Minnesota,54
27,2018,21.7668039,0.405518524,42.15752911,0.785400514,3268.103776,62.89873133,Minnesota,55
27,2019,25.92176395,0.479811553,252.5261033,4.674255268,3105.967826,58.57939816,Minnesota,56
27,2020,23.3293915,0.430030974,102.8874497,1.896525686,2352.594154,46.35952751,Minnesota,57
27,2009,1030.892304,20.54739788,70.7171965,1.409511322,2211.135976,40.9892796,Minnesota,58
28,2007,1975.013231,70.99429017,16.11136138,0.579142786,1228.212205,44.62677337,Mississippi,59
28,2008,2431.949378,86.84244192,42.04136375,1.501254394,997.2057683,36.81859567,Mississippi,60
28,2010,564.0604889,19.98891333,65.28871309,2.313671057,811.5475263,28.03611103,Mississippi,61
28,2011,1221.462518,43.17664658,124.2400071,4.391675391,1687.975755,58.97463975,Mississippi,62
28,2012,1766.86312,62.36389252,91.06402503,3.214231485,1799.845948,63.57480294,Mississippi,63
28,2013,1106.904968,39.01446594,63.18926773,2.2271971,1375.604097,48.33035717,Mississippi,64
28,2014,430.5081895,15.16874349,55.78447658,1.965538489,946.7221711,33.55334947,Mississippi,65
28,2015,418.8196647,14.76971851,40.6854197,1.434775507,342.1803849,11.07048604,Mississippi,66
28,2016,311.3450963,10.98210396,66.62857779,2.350195898,518.1194703,20.25024571,Mississippi,67
28,2017,542.4287536,19.13997587,53.52940724,1.888822368,427.8394503,17.70687307,Mississippi,68
28,2018,889.7085815,31.48597957,58.65893659,2.075886551,1115.373226,40.70071444,Mississippi,69
28,2019,386.1594756,13.69188281,76.63842051,2.717334,1288.300079,47.47815348,Mississippi,70
28,2020,459.9333221,16.36488866,59.68325472,2.123590033,1561.143864,57.15440643,Mississippi,71
28,2009,728.7446683,25.92626712,57.61598585,2.049781638,376.2112695,13.74393658,Mississippi,72
29,2007,2232.172603,39.90846155,309.4484865,5.532552908,2934.486313,51.08497981,Missouri,73
29,2020,127.2199138,2.175925079,620.3306875,10.60991994,3058.148838,55.17985167,Missouri,74
29,2008,875.0645114,15.54918298,744.728837,13.2332243,3054.702015,52.08863028,Missouri,75
29,2009,652.6317932,11.52442029,481.2931697,8.498857744,2200.282324,37.14068828,Missouri,76
29,2010,941.1190036,16.52166764,510.3541986,8.9594434,2427.47634,42.27545124,Missouri,77
29,2011,2148.685362,37.62484128,471.7148829,8.260026301,3325.505853,56.57269017,Missouri,78
29,2012,3227.585956,56.37654013,121.1844762,2.116740367,4123.198843,69.35833164,Missouri,79
29,2013,2872.41044,50.03044489,286.685097,4.993361235,3880.411832,68.31576868,Missouri,80
29,2014,1297.655435,22.54117561,199.9075034,3.472532089,3042.936023,54.24908001,Missouri,81
29,2015,1091.479997,18.90773294,182.6130586,3.163410189,2961.48678,50.63616754,Missouri,82
29,2016,838.0721982,14.47920865,380.2932429,6.570251614,3012.386431,52.69281729,Missouri,83
29,2017,1719.454401,29.60902456,211.3008937,3.638603821,2106.332276,40.08621882,Missouri,84
29,2018,1609.126073,27.64108462,140.5332454,2.414037901,2975.73957,54.30015166,Missouri,85
29,2019,861.4138405,14.76079109,838.5362813,14.36877176,2772.990074,50.13639855,Missouri,86
30,2008,295.0766912,31.81096597,7.885715487,0.850125525,431.6872535,48.93946636,Montana,87
30,2009,171.1931457,18.31367964,5.587513245,0.597733789,364.0704413,40.4297872,Montana,88
30,2010,236.796636,25.15586109,4.975309962,0.528547231,268.6237054,30.24784403,Montana,89
30,2011,120.4715773,12.70383148,95.34615069,10.05433363,296.8153258,30.46967171,Montana,90
30,2012,120.8892748,12.65651258,51.64823491,5.407316208,487.6390986,50.64969569,Montana,91
30,2013,197.3550993,20.44724901,6.911092002,0.71603328,541.4696426,55.48615655,Montana,92
30,2014,121.0943831,12.4348975,33.69360654,3.459917241,556.4936508,55.5662669,Montana,93
30,2015,214.7416583,21.84995001,10.68861868,1.087566268,520.4251604,52.08628584,Montana,94
30,2016,306.1086951,30.81298265,4.428471485,0.445771117,461.9557363,46.51077644,Montana,95
30,2017,339.8470298,33.81216458,4.778493189,0.475423305,577.1283119,54.10777398,Montana,96
30,2018,327.9889268,32.37071711,44.64509824,4.40622755,672.9912994,59.42619234,Montana,97
30,2019,228.4599294,22.36061225,41.16889399,4.029422918,431.1800455,43.12412422,Montana,98
30,2020,216.2649247,20.93864845,17.48467821,1.692856716,413.9121635,42.06700548,Montana,99
